,age,job,marital,education,default,balance,housing,loan,contact,day,month,previous,poutcome,y
278,38,services,single,secondary,no,570.0,yes,no,unknown,5,may,0,unknown,no
279,36,self-employed,married,tertiary,no,19.0,no,no,unknown,5,may,0,unknown,no
280,50,blue-collar,married,primary,no,61.0,yes,no,unknown,5,may,0,unknown,no
281,41,administrative,married,secondary,no,-62.0,yes,yes,unknown,5,may,0,unknown,no
282,54,technician,married,tertiary,no,258.0,no,no,unknown,5,may,0,unknown,no
283,58,blue-collar,married,primary,no,76.0,yes,no,unknown,5,may,0,unknown,no
284,30,blue-collar,single,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
285,33,administrative,single,secondary,no,352.0,yes,no,unknown,5,may,0,unknown,no
286,47,administrative,married,secondary,no,368.0,yes,no,unknown,5,may,0,unknown,no
287,50,technician,single,tertiary,no,339.0,yes,no,unknown,5,may,0,unknown,no
288,32,blue-collar,married,secondary,no,1331.0,yes,no,unknown,5,may,0,unknown,no
289,40,self-employed,married,secondary,no,672.0,yes,no,unknown,5,may,0,unknown,no
290,37,management,married,tertiary,no,58.0,yes,no,unknown,5,may,0,unknown,no
291,54,technician,single,unknown,no,447.0,yes,no,unknown,5,may,0,unknown,no
292,24,student,single,secondary,no,423.0,yes,no,unknown,5,may,0,unknown,no
293,54,management,married,tertiary,no,0.0,no,no,unknown,5,may,0,unknown,no
294,34,technician,married,secondary,no,19.0,yes,no,unknown,5,may,0,unknown,no
295,56,technician,divorced,primary,no,13.0,yes,no,unknown,5,may,0,unknown,no
296,31,blue-collar,single,secondary,no,3.0,yes,no,unknown,5,may,0,unknown,no
297,24,student,single,secondary,no,82.0,yes,no,unknown,5,may,0,unknown,no
298,42,blue-collar,divorced,primary,no,28.0,yes,no,unknown,5,may,0,unknown,no
299,57,technician,married,secondary,no,792.0,yes,no,unknown,5,may,0,unknown,no
300,42,blue-collar,married,unknown,no,408.0,yes,no,unknown,5,may,0,unknown,no
301,51,administrative,married,secondary,no,531.0,yes,no,unknown,5,may,0,unknown,no
302,57,retired,married,secondary,no,211.0,yes,no,unknown,5,may,0,unknown,no
303,36,services,single,secondary,no,62.0,yes,no,unknown,5,may,0,unknown,no
304,53,services,married,unknown,no,257.0,yes,no,unknown,5,may,0,unknown,no
305,50,technician,married,secondary,no,1234.0,yes,no,unknown,5,may,0,unknown,no
306,54,management,married,tertiary,no,313.0,yes,no,unknown,5,may,0,unknown,no
307,55,blue-collar,married,secondary,no,89.0,yes,no,unknown,5,may,0,unknown,no
308,44,blue-collar,married,secondary,no,129.0,yes,yes,unknown,5,may,0,unknown,no
309,43,management,married,unknown,no,0.0,yes,no,unknown,5,may,0,unknown,no
310,56,administrative,married,secondary,no,353.0,yes,no,unknown,5,may,0,unknown,no
311,54,technician,married,unknown,no,851.0,yes,no,unknown,5,may,0,unknown,no
312,55,services,divorced,primary,no,96.0,yes,yes,unknown,5,may,0,unknown,no
313,37,services,divorced,secondary,no,398.0,yes,yes,unknown,5,may,0,unknown,no
314,33,administrative,single,tertiary,no,193.0,no,no,unknown,5,may,0,unknown,no
315,46,administrative,married,secondary,no,-358.0,yes,no,unknown,5,may,0,unknown,no
316,36,blue-collar,married,secondary,no,539.0,yes,yes,unknown,5,may,0,unknown,no
317,51,technician,single,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
318,40,retired,single,primary,no,0.0,no,no,unknown,5,may,0,unknown,no
319,42,blue-collar,married,secondary,no,490.0,yes,no,unknown,5,may,0,unknown,no
320,51,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
321,49,blue-collar,married,unknown,no,403.0,yes,no,unknown,5,may,0,unknown,no
322,48,management,married,secondary,no,161.0,yes,no,unknown,5,may,0,unknown,no
323,32,technician,divorced,tertiary,no,2558.0,no,no,unknown,5,may,0,unknown,no
324,31,administrative,single,secondary,no,98.0,yes,no,unknown,5,may,0,unknown,no
325,55,management,single,tertiary,no,115.0,no,no,unknown,5,may,0,unknown,no
326,40,blue-collar,single,secondary,no,436.0,yes,no,unknown,5,may,0,unknown,no
327,47,technician,married,tertiary,no,831.0,yes,no,unknown,5,may,0,unknown,no
328,57,technician,married,unknown,no,206.0,yes,no,unknown,5,may,0,unknown,no
329,41,blue-collar,married,secondary,no,290.0,yes,no,unknown,5,may,0,unknown,no
330,48,blue-collar,married,secondary,no,1.0,no,no,unknown,5,may,0,unknown,no
331,42,blue-collar,married,unknown,no,57.0,yes,no,unknown,5,may,0,unknown,no
332,30,blue-collar,single,secondary,no,-457.0,yes,no,unknown,5,may,0,unknown,no
333,58,management,single,tertiary,no,1387.0,yes,no,unknown,5,may,0,unknown,no
334,45,management,divorced,tertiary,no,24598.0,yes,no,unknown,5,may,0,unknown,no
335,49,blue-collar,married,secondary,no,30.0,yes,no,unknown,5,may,0,unknown,no
336,42,administrative,single,secondary,no,1022.0,yes,no,unknown,5,may,0,unknown,no
